,Date,Total,MR,PW,PW+,Lief,Lief+,Lief+Aufl.,LW,LW+,Sattelzug,Bus,andere,Station Count,Number of Measurments
169,05.12.2020,251502,4722,229499,309,11623,144,13,1221,210,651,2991,119,30,1536
170,06.01.2019,230360,2976,215917,88,7299,66,13,480,64,173,3151,133,30,1608
171,06.01.2020,358441,8431,308849,205,27032,287,225,5320,791,2517,4427,357,30,1584
172,06.01.2021,269052,4976,231171,173,21245,258,157,4212,566,2474,3643,177,30,1584
173,06.02.2019,407388,8440,349887,330,31865,483,237,7364,873,3295,4312,302,30,1608
174,06.02.2020,397247,9737,339307,282,31509,378,214,6669,915,3365,4469,402,30,1584
175,06.02.2021,217049,5436,195548,205,10284,130,16,1198,186,616,3356,74,30,1512
176,06.03.2019,388375,11359,328614,370,30893,455,210,7491,922,3485,4282,294,30,1584
177,06.03.2020,378519,7511,327184,319,28214,420,211,6209,874,2981,4388,208,30,1584
178,06.03.2021,257698,6386,233601,305,11595,152,28,1267,199,684,3392,89,30,1512
179,06.04.2019,357683,9120,325057,537,14530,207,81,1588,531,881,4837,314,30,1584
180,06.04.2020,222005,9238,176300,235,23339,364,209,5766,623,2899,2908,124,30,1584
181,06.04.2021,301792,6702,251049,336,28305,465,243,6490,942,3257,3807,196,30,1512
182,06.05.2019,388868,13601,325478,446,31165,558,251,7562,1155,3687,4596,369,30,1536
183,06.05.2020,254255,10817,205146,266,24917,477,196,5902,736,2929,2701,168,30,1512
184,06.05.2021,342555,8828,286780,388,30337,490,206,6936,915,3547,3881,247,30,1536
185,06.06.2019,414215,13395,349154,473,32821,515,232,8052,1148,3879,4152,394,30,1536
186,06.06.2020,222853,6054,201205,196,10240,126,18,1140,221,616,2917,120,30,1512
187,06.06.2021,236808,6808,217174,184,8818,109,8,550,152,227,2678,100,30,1536
188,06.07.2019,313951,10188,281729,536,14488,218,56,1730,314,772,3617,303,30,1560
189,06.07.2020,334542,15045,278108,366,26882,469,198,6188,821,2642,3587,236,30,1512
190,06.07.2021,361118,10238,303239,455,30931,514,178,7000,831,3518,4021,193,30,1536
191,06.08.2019,364234,14126,305130,517,29300,491,188,6404,900,2787,3902,489,30,1560
192,06.08.2020,350485,17918,290875,389,27084,488,168,5993,866,2579,3593,532,30,1512
193,06.08.2021,356295,13086,301275,621,27057,434,162,5945,743,2570,3915,487,30,1512
194,06.09.2019,405902,15618,342073,458,31499,541,233,6969,878,2899,4364,370,30,1536
195,06.09.2020,234331,8336,213660,328,8399,91,14,496,95,186,2624,102,30,1536
196,06.09.2021,349796,16794,285822,402,30354,539,255,7330,983,3151,3890,276,30,1512
197,06.10.2019,238856,3446,221280,241,9051,120,34,557,180,185,3613,149,30,1536
198,06.10.2020,344361,10050,290411,325,28627,470,209,6325,887,3191,3670,196,30,1536
199,06.10.2021,343702,10375,287930,340,29444,479,246,6639,956,3301,3800,192,30,1512
200,06.11.2019,405195,12071,341477,305,33571,516,213,7485,1015,3722,4455,365,30,1584
201,06.11.2020,339745,11446,284404,350,29045,513,183,6341,860,2778,3590,235,30,1536
202,06.12.2019,436066,8852,376243,355,33365,470,189,7138,985,3214,4789,466,30,1584
203,06.12.2020,163113,2744,151271,79,6007,24,2,379,81,135,2358,33,30,1536
204,07.01.2019,367038,8718,316991,229,27061,327,210,5482,687,2667,4367,299,30,1608
205,07.01.2020,371466,9107,319980,222,27328,362,232,5605,885,2890,4529,326,30,1584
206,07.01.2021,286963,5826,245502,227,22852,282,165,4635,682,2574,4050,168,30,1584
207,07.02.2019,408846,7424,352361,254,31624,439,212,7533,937,3305,4380,377,30,1608
208,07.02.2020,418530,9516,361617,288,31382,401,248,6502,826,2880,4473,397,30,1584
209,07.02.2021,154947,2375,143568,51,5581,33,8,379,65,207,2652,28,30,1512
210,07.03.2019,402649,9408,344169,331,31581,503,201,7484,953,3362,4345,312,30,1584
211,07.03.2020,300276,6162,275223,293,12175,140,40,1259,248,659,3975,102,30,1584
212,07.03.2021,180033,4446,165666,125,6287,68,8,415,89,219,2671,39,30,1512
